"ParcelID","Location","RM","BD","BA","34BA","HB","FP","Owned","NBC","Imp","Floor","Loc","Grade","Built","Price","Date","Area","Value","_Change","f0","Type","Nhood",
"11-1","13 MORGAN STREET","7","3","2","0","1","2","0.00%","6700","5","","False","5","1970","100","02/06/2015","3767","1059000","10.24","False","CAPE","6700",
"11-10","14 KIMBALL AVENUE","8","4","2","0","1","2","0.00%","6700","9","","False","5","1970","0","08/01/1966","4178","1027500","13.27","False","CONTEMPORY","6700",
"11-11","10 KIMBALL AVENUE","11","4","3","0","1","2","0.00%","6700","6","","False","5","1976","645000","04/22/2016","3176","984300","11.64","False","COLONIAL","6700",
"11-12","8 KIMBALL AVENUE","8","4","3","0","1","2","0.00%","6700","6","","False","6","1966","1","02/28/2019","4015","1094000","27.14","False","COLONIAL","6700",
"11-13","7 KIMBALL AVENUE","10","5","2","0","1","2","0.00%","6700","6","","False","6","1971","758250","07/23/2013","3246","1049800","12.15","False","COLONIAL","6700",
"11-14","11 KIMBALL AVENUE","8","4","3","0","1","3","0.00%","6700","5","","False","5","1964","960000","06/02/2021","3144","1099900","16.31","False","CAPE","6700",
"11-15","15 KIMBALL AVENUE","8","3","2","0","0","2","0.00%","6700","19","","False","5","1962","603000","05/01/2006","2204","923000","7.0","False","RANCH","6700",
"11-16","19 KIMBALL AVENUE","9","4","3","0","1","2","0.00%","6700","6","","False","5","1964","875000","06/23/2016","3617","1048000","16.29","False","COLONIAL","6700",
"11-17A","13 WOODSIDE LANE","7","3","2","0","2","0","0.00%","1000","6","","False","5","2013","540000","05/10/2013","2180","951500","13.05","False","COLONIAL","1000",
"11-2","16 MORGAN STREET","9","4","2","0","0","2","0.00%","6700","6","","False","5","1969","1","02/17/2021","3639","1063600","10.14","False","COLONIAL","6700",
"11-20","1 DAMBROSIO WAY","6","3","2","0","0","1","0.00%","1000","5","","False","4","1989","650000","10/13/2006","2160","835400","13.37","False","CAPE","1000",
"11-21","7 WOODSIDE LANE","7","3","2","0","0","0","0.00%","1000","15","","False","3","1900","249000","10/27/2000","1246","594900","8.92","False","OLD STYLE","1000",
"11-22","6 WOODSIDE LANE","6","3","2","0","0","0","0.00%","1000","19","","False","4","1996","100","11/06/2007","2106","855900","-5.12","False","","1000",
